run_id,year,portfolio_id,portfolio_name,tax_treatment,after_tax_income,real_after_tax_income,taxes_paid
2,2025,1,PID 1,TAXABLE,839761.69,815302.61,660238.31
2,2026,1,PID 1,TAXABLE,839761.69,791555.93,660238.31
2,2027,1,PID 1,TAXABLE,839761.69,768500.91,660238.31
2,2028,1,PID 1,TAXABLE,839761.69,746117.38,660238.31
2,2029,1,PID 1,TAXABLE,839761.69,724385.81,660238.31
2,2030,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2031,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2032,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2033,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2034,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2035,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2036,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2037,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2038,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2039,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2040,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2041,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2042,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2043,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2044,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2045,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2046,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2047,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2048,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2049,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2050,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2051,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2052,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2053,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2054,1,PID 1,TAXABLE,0.0,0.0,0.0
2,2055,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2025,1,PID 1,TAXABLE,839761.69,815302.61,660238.31
3,2026,1,PID 1,TAXABLE,839761.69,791555.93,660238.31
3,2027,1,PID 1,TAXABLE,839761.69,768500.91,660238.31
3,2028,1,PID 1,TAXABLE,839761.69,746117.38,660238.31
3,2029,1,PID 1,TAXABLE,839761.69,724385.81,660238.31
3,2030,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2031,1,PID 1,TAXABLE,0.0,0.0,0.0
