run_id,year,portfolio_id,portfolio_name,tax_treatment,after_tax_income,real_after_tax_income,taxes_paid
3,2032,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2033,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2034,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2035,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2036,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2037,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2038,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2039,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2040,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2041,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2042,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2043,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2044,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2045,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2046,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2047,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2048,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2049,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2050,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2051,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2052,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2053,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2054,1,PID 1,TAXABLE,0.0,0.0,0.0
3,2055,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2025,1,PID 1,TAXABLE,839761.69,815302.61,660238.31
4,2026,1,PID 1,TAXABLE,839761.69,791555.93,660238.31
4,2027,1,PID 1,TAXABLE,839761.69,768500.91,660238.31
4,2028,1,PID 1,TAXABLE,839761.69,746117.38,660238.31
4,2029,1,PID 1,TAXABLE,839761.69,724385.81,660238.31
4,2030,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2031,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2032,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2033,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2034,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2035,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2036,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2037,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2038,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2039,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2040,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2041,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2042,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2043,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2044,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2045,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2046,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2047,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2048,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2049,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2050,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2051,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2052,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2053,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2054,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2055,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2056,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2057,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2058,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2059,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2060,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2061,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2062,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2063,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2064,1,PID 1,TAXABLE,0.0,0.0,0.0
4,2065,1,PID 1,TAXABLE,0.0,0.0,0.0
