run_id,created_at,params_json,settings_json
1,2025-08-09T05:29:24Z,"{""years"": 30, ""cadence"": ""monthly"", ""start_date"": null, ""use_macro"": true, ""inflation_mode"": null, ""growth_mode"": null, ""fx_mode"": null, ""notes"": null, ""seed_from_holdings"": true, ""holdings_valuation"": ""market""}","{""default_portfolio_id"": ""1""}"
2,2025-08-12T11:50:17Z,"{""years"": 30, ""cadence"": ""monthly"", ""start_date"": null, ""use_macro"": true, ""inflation_mode"": null, ""growth_mode"": null, ""fx_mode"": null, ""notes"": null, ""seed_from_holdings"": false, ""holdings_valuation"": ""market""}","{""default_portfolio_id"": ""1""}"
3,2025-08-12T11:55:11Z,"{""years"": 30, ""cadence"": ""monthly"", ""start_date"": null, ""use_macro"": true, ""inflation_mode"": null, ""growth_mode"": null, ""fx_mode"": null, ""notes"": null, ""seed_from_holdings"": false, ""holdings_valuation"": ""market""}","{""default_portfolio_id"": ""1"", ""base_currency"": ""CAD"", ""fx_mode"": ""static"", ""inflation_mode"": ""static"", ""growth_mode"": ""static"", ""macro_mode"": ""static"", ""market_data_provider"": ""yahoo"", ""forecast_output_dir"": ""C:\\Users\\ryann\\Dropbox\\Ryan\\Finance\\draupnir_app\\output""}"
4,2025-08-12T12:29:43Z,"{""years"": 40, ""cadence"": ""monthly"", ""start_date"": null, ""use_macro"": true, ""inflation_mode"": null, ""growth_mode"": null, ""fx_mode"": null, ""notes"": null, ""seed_from_holdings"": false, ""holdings_valuation"": ""market""}","{""default_portfolio_id"": ""1"", ""base_currency"": ""CAD"", ""fx_mode"": ""static"", ""inflation_mode"": ""static"", ""growth_mode"": ""static"", ""macro_mode"": ""static"", ""market_data_provider"": ""yahoo"", ""forecast_output_dir"": ""C:\\Users\\ryann\\Dropbox\\Ryan\\Finance\\draupnir_app\\exports""}"
